Date,KOSPI2 INDEX,005930 KS EQUITY,MXWO INDEX,CCMP INDEX,SPX INDEX,VIX INDEX,NDX INDEX,SX5E INDEX,NKY INDEX,DAX INDEX,HSI INDEX,SXXP INDEX,UKX INDEX,TPX INDEX,SHCOMP INDEX,MXEF INDEX,MXWD INDEX,SOX INDEX,DXY INDEX,FEDL01 INDEX,KOSDAQ INDEX,XAU BGN CURNCY,USDKRW BGN Curncy,EHGDKRY Index,USDCNY BGN Curncy,USDEUR Curncy,GJGB10 INDEX,CAD BGN CURNCY,GT10 GOVT,GBPUSD CURNCY,USDJPY CURNCY,BRL CURNCY,CL1 COMDTY,SMI INDEX
2003.3.31,68.05,4370,748.63,1341.17,848.18,29.15,1018.66,2036.86,7972.71,2423.87,8634.45,176.41,3613.3,788,1510.578,272.27,180.2,296.27,98.88,1.25,377.7,337.45,1254.45,7.72,8.2774,0.9161,0.709,1.4673,3.798,1.5827,118.09,3.3525,31.04,4085.6
2003.4.30,76.45,4694,813.3,1464.31,916.92,21.21,1106.06,2324.23,7831.42,2942.04,8717.22,194.88,3926,796.56,1521.444,295.17,195.75,332.5,97.19,1.26,428,338.55,1215.25,7.72,8.277,0.8942,0.615,1.4301,3.838,1.5985,118.88,2.9105,25.8,4542.7
2003.5.31,80.53,4986,857.65,1595.91,963.59,19.47,1197.89,2330.06,8424.51,2982.68,9487.38,196.54,4048.1,837.7,1576.261,315.44,206.54,382.31,93.29,1.26,471.8,364.45,1206,7.72,8.2768,0.8482,0.54,1.3666,3.372,1.6364,119.3,2.9675,29.56,4630.8
2003.6.30,85.47,5471,871.07,1622.8,974.5,19.52,1201.69,2419.51,9083.11,3220.58,9577.12,202.94,4031.2,903.44,1486.024,332.68,210.08,359.69,94.73,1.22,497.5,346.4,1193.05,7.72,8.2775,0.8687,0.846,1.3467,3.515,1.6546,119.8,2.844,30.19,4813.7
2003.7.31,91.52,6411,887.78,1735.02,990.31,19.49,1276.94,2519.79,9563.21,3487.86,10134.83,211.11,4157,939.4,1476.742,352.62,214.46,389.63,96.89,1.01,493.3,354.35,1180,7.72,8.2773,0.8904,0.945,1.4043,4.408,1.6108,120.55,2.966,30.54,5079.1
2003.8.31,97.59,6703,905.32,1810.45,1008.01,18.63,1341.2,2556.71,10343.55,3484.58,10908.99,214.7,4161.1,1002.01,1421.983,375.52,219.1,456.06,98.1,1.03,495.4,375.55,1178.35,7.72,8.2771,0.9101,1.464,1.3865,4.466,1.5777,116.92,2.976,31.57,5124.2
2003.9.30,89.55,6041,909.64,1786.94,995.97,22.72,1303.7,2395.87,10219.05,3256.78,11229.87,206.86,4091.3,1018.8,1367.161,377.63,220.15,419.78,92.85,1.01,448.6,385.35,1150.1,7.72,8.277,0.8579,1.394,1.3521,3.939,1.6618,111.5,2.9,29.2,5043.5
2003.10.31,101.44,7243,962.71,1932.21,1050.71,16.1,1416.39,2575.04,10559.59,3655.99,12190.1,221.53,4287.6,1043.36,1348.303,409.11,233.24,496.52,92.73,1.01,463.8,384.25,1183.63,7.72,8.2766,0.8625,1.469,1.3198,4.295,1.6957,109.94,2.8675,29.11,5211.4
2003.11.30,103.61,7166,976.02,1960.26,1058.2,16.32,1424.25,2630.47,10100.57,3745.95,12317.47,223.3,4342.6,999.75,1397.225,413.33,236.42,529.28,90.23,1,458.4,398.15,1202.05,7.72,8.277,0.8338,1.304,1.3008,4.334,1.7222,109.63,2.946,30.41,5317.5
2003.12.31,105.21,7029,1036.32,2003.37,1111.92,18.31,1467.92,2760.66,10676.64,3965.16,12575.94,229.31,4476.9,1043.69,1497.044,442.78,251.13,508.12,86.92,0.98,448.7,415.45,1192.1,3.15,8.2767,0.794,1.37,1.297,4.248,1.7858,107.22,2.8915,32.52,5487.8
